PublishedDate|Language|Alert_definition|PT|Title|Content|Id|LinkURI
2023-10-05T01:27:31Z|en|flood|all|"Biden administration clears way for new border wall construction in Texas - National | Globalnews.ca"|... <b>flood</b> across border, mayor says. close video mute video unmute video. WATCH ... <b>flood</b> across border, mayor says – Sep 24, 2023. Leave a comment. Share&nbsp;...|tag:google.com,2013:googlealerts/feed:16008482373618722511|https://globalnews.ca/news/10005666/us-border-wall-mexico-biden/
2023-10-05T00:51:27Z|en|flood|all|New England Threatened by Another Tropical Storm: Weather Watch - BNN Bloomberg|... <b>flooding</b> rains.In September, Hurricane Lee also skirted the US East Coast ... A <b>flood</b> watch has been issued for parts of Victoria and New South Wales.|tag:google.com,2013:googlealerts/feed:16854046331995239414|https://www.bnnbloomberg.ca/new-england-threatened-by-another-tropical-storm-weather-watch-1.1980302
2023-10-04T23:01:29Z|en|flood|all|The private-side sewer infrastructure deficit in Canada is a climate change disaster|The federal government can help educate the public around preventing sanitary sewer <b>flooding</b>, and could establish standards for the construction&nbsp;...|tag:google.com,2013:googlealerts/feed:2183105965653053932|https://www.hilltimes.com/story/2023/10/04/the-private-side-sewer-infrastructure-deficit-in-canada-is-a-climate-change-disaster/398762/
2023-10-04T22:46:37Z|en|flood|all|Fort Lauderdale mayor to focus on efforts after historic <b>flooding</b> in State of City address|A big focus in the Fort Lauderdale mayor&#39;s State of the City address Wednesday is on <b>flooding</b> and how to protect the city from high tides and&nbsp;...|tag:google.com,2013:googlealerts/feed:6151851575420896472|https://www.nbcmiami.com/news/local/fort-lauderdale-mayor-to-focus-on-efforts-after-historic-flooding-in-state-of-city-address/3126098/
2023-10-04T18:26:24Z|fr|inondation|all|Plan d&#39;action pour les <b>inondations</b> de River Lane - Les éditions André Paquette|... <b>inondation</b>. (Photo : Pexels). Le conseil du canton de Champlain a examiné un plan d&#39;action pour faire face aux <b>inondations</b> des propriétés de River&nbsp;...|tag:google.com,2013:googlealerts/feed:6727991367824435305|https://editionap.ca/2023/10/04/plan-daction-pour-les-inondations-de-river-lane/
2023-10-04T15:31:03Z|fr|inondation|all|"Inde | Au moins cinq morts et 23 soldats disparus après des crues subites dans l&#39;Himalaya"|« Des précipitations intenses ont conduit à cette situation catastrophique au Sikkim, où la pluie a déclenché une <b>inondation</b> ... Les <b>inondations</b> et les&nbsp;...|tag:google.com,2013:googlealerts/feed:4038413060040291403|https://www.lapresse.ca/international/asie-et-oceanie/2023-10-04/inde/au-moins-cinq-morts-et-23-soldats-disparus-apres-des-crues-subites-dans-l-himalaya.php
2023-10-04T15:26:42Z|fr|inondation|all|Comprendre le rôle du couvert de neige en forêt pour mieux prédire le risque d&#39;<b>inondation</b>|par Benjamin Bouchard, Étudiant-chercheur au doctorat en génie des eaux, Université Laval Daniel Nadeau, Professeur titulaire en hydrologie des&nbsp;...|tag:google.com,2013:googlealerts/feed:18012127652358325808|http://www.tolerance.ca/ArticleExt.aspx%3FID%3D540957%26L%3Dfr
2023-10-04T11:57:43Z|fr|inondation|all|Convoitise et inquiétudes en Libye concernant la reconstruction - Le Devoir|Les administrations rivales en Libye multiplient les initiatives pour s&#39;approprier une part du gâteau de la reconstruction après les <b>inondations</b>&nbsp;...|tag:google.com,2013:googlealerts/feed:3481619434203993670|https://www.ledevoir.com/monde/afrique/799286/inondations-a-derna-convoitise-inquietudes-libye-concernant-reconstruction
2023-10-04T10:29:14Z|fr|inondation|all|Climat : Près de 200 communes reconnues en état de cat&#39;nat&#39; - News Assurances Pro|Ils concernent la sécheresse et des <b>inondations</b>. CONTENU RÉSERVÉ ... <b>inondation</b> &middot; sécheresse &middot; Florian Delambily. ARTICLES CONNEXESPLUS DU MÊME&nbsp;...|tag:google.com,2013:googlealerts/feed:9417641815196550264|https://www.newsassurancespro.com/climat-pres-de-200-communes-reconnues-en-etat-de-catnat/01691568571
2023-10-06T07:12:48Z|en|flood|all|Glacial lake that sent deadly <b>floods</b> through Indian towns was identified as dangerous in 2019|The <b>flood</b> began shortly after midnight Wednesday, when a glacial lake high in the mountains overflowed after a heavy rainfall. The waters crashed into&nbsp;...|tag:google.com,2013:googlealerts/feed:16965675449941230620|https://www.thestar.com/news/world/asia/glacial-lake-that-sent-deadly-floods-through-indian-towns-was-identified-as-dangerous-in-2019/article_0aac2197-9099-5bed-bb14-38f017062c2a.html%3Fli_source%3Dbase%26li_medium%3Dworld
2023-10-06T07:03:43Z|en|flood|all|<b>Floods</b> kill at least 31 in India&#39;s Himalayan northeast after lake bursts through major dam|The <b>flood</b> began shortly after midnight Wednesday, when the waters of a glacial lake overflowed, cracking open Sikkim State&#39;s biggest hydroelectric&nbsp;...|tag:google.com,2013:googlealerts/feed:421891152724545324|https://www.theglobeandmail.com/world/article-flash-floods-kill-at-least-31-in-northeastern-india-and-leave-nearly/
2023-10-06T07:00:46Z|en|flood|all|Heavy rains and <b>floods</b> kill 6 people in Sri Lanka and force schools to close - MyMcMurray|COLOMBO, Sri Lanka (AP) — Heavy rain triggered <b>floods</b> and mudslides and downed trees in many parts of Sri Lanka, killing at least six people and&nbsp;...|tag:google.com,2013:googlealerts/feed:12714457598195042451|https://www.mymcmurray.com/2023/10/06/heavy-rains-and-floods-kill-6-people-in-sri-lanka-and-force-schools-to-close/
2023-10-06T06:28:47Z|en|flood|all|"Icy floodwaters burst through major dam in India&#39;s northeast, killing at least 31 people | iNFOnews"|It was the latest deadly <b>flood</b> to hit northeast India in a year of unusually heavy monsoon rains. Nearly 50 people died in flash <b>floods</b> and&nbsp;...|tag:google.com,2013:googlealerts/feed:1789652726557098957|https://infotel.ca/newsitem/as-india-sikkim-floods/cp1916696869
2023-10-06T05:45:29Z|en|flood|all|Kiwanians donate basketball court to Rosedale Park - Sault Ste. Marie News|... <b>Flood</b>/SooToday. Listen to this article. 00:01:54. The Kiwanis Club of Lakeshore Foundation is by far the biggest contributor to the ongoing&nbsp;...|tag:google.com,2013:googlealerts/feed:14337283392079131690|https://www.sootoday.com/local-news/kiwanians-donate-basketball-court-to-rosedale-park-7643672
2023-10-06T05:32:33Z|en|flood|all|Greening Corporate Grounds Plants First Mini Forest in the Credit River Watershed|<b>Flood</b> Status: ... “Mini forests capture carbon quicker, generate shade which helps to cool our cities, provide food and shelter for wildlife, and reduce&nbsp;...|tag:google.com,2013:googlealerts/feed:17997778003025418427|https://cvc.ca/news/greening-corporate-grounds-plants-first-mini-forest-in-the-credit-river-watershed/
2023-10-06T03:59:36Z|en|flood|all|"Sikkim <b>floods</b> death toll reaches 38, bodies found in Bengal, Bangladesh | Kolkata News"|The death toll in the glacial lake outburst <b>flood</b> in Sikkim has risen to 38, including four Army personnel. Most of the bodies were found&nbsp;...|tag:google.com,2013:googlealerts/feed:12418554521556075412|https://m.timesofindia.com/city/kolkata/sikkim-toll-at-38-bodies-found-in-bengal-bangladesh/articleshow/104196499.cms
2023-10-06T03:53:15Z|en|flood|all|EXCLUSIVE-India lake that <b>flooded</b> was poised to get early warning system - Nasdaq|Scientists and government authorities were working on an early warning system for glacial <b>floods</b> at a Himalayan lake in northeast India when it&nbsp;...|tag:google.com,2013:googlealerts/feed:7350398506160763199|https://www.nasdaq.com/articles/exclusive-india-lake-that-flooded-was-poised-to-get-early-warning-system
2023-10-06T02:10:53Z|en|flood|all|"Flash <b>floods</b> kill at least 14 in northeastern India and leave more than 100 missing | CityNews Toronto"|NEW DELHI (AP) — Rescue workers were searching for more than 100 people on Thursday after flash <b>floods</b> triggered by sudden heavy rainfall swamped&nbsp;...|tag:google.com,2013:googlealerts/feed:13073423875179922824|https://toronto.citynews.ca/2023/10/05/flash-floods-kill-at-least-14-in-northeastern-india-and-leave-more-than-100-missing/
2023-10-06T01:40:17Z|en|flood|all|How government neglect, misguided policies doomed Libya to deadly <b>floods</b>|“Coastal areas were evacuated because they expected those to <b>flood</b>,” said Ahmad Shawli, an official on Derna&#39;s Emergency Response Committee. “People&nbsp;...|tag:google.com,2013:googlealerts/feed:9242634177215576769|https://www.washingtonpost.com/world/2023/10/05/libya-derna-floods-disaster-government/
2023-10-06T00:50:46Z|en|flood|all|Millions of children are displaced due to extreme weather events. Climate change will make it worse|... <b>flooding</b> rivers, cyclonic winds and <b>floods</b> that follow a storm. Some ... <b>flood</b> plain of Yamuna River, in New Delhi, India, Friday, Sept. 29&nbsp;...|tag:google.com,2013:googlealerts/feed:9480173112212219588|https://www.winnipegfreepress.com/arts-and-life/life/health/2023/10/05/millions-of-children-are-displaced-due-to-extreme-weather-events-climate-change-will-make-it-worse
2023-10-06T00:37:32Z|en|flood|all|Millions of children are displaced due to extreme weather events. Climate change will make it worse|... <b>flood</b> plain of Yamuna River, in New Delhi, India, Friday, Sept. 29, 2023. Their family was among those displaced by the recent <b>floods</b> in the&nbsp;...|tag:google.com,2013:googlealerts/feed:8690775774969942293|https://www.alaskahighwaynews.ca/health/millions-of-children-are-displaced-due-to-extreme-weather-events-climate-change-will-make-it-worse-7648950
2023-10-06T00:23:23Z|en|flood|all|Dual storms to drench Quebec in heavy tropical rains this weekend - The Weather Network|Some communities could face a localized <b>flood</b> risk as a result of the heavy rain. Given the risk for localized <b>flooding</b>, monitor conditions and&nbsp;...|tag:google.com,2013:googlealerts/feed:15859964694610146687|https://www.theweathernetwork.com/en/news/weather/forecasts/dual-storms-philippe-to-drench-montreal-quebec-in-heavy-tropical-rains-this-weekend
2023-10-05T22:56:23Z|en|flood|all|Natural disasters growing due to climate change - The Cord|“These are the people who have less expensive homes, built lower to the ground, on <b>flood</b> plains and therefore far more susceptible to <b>flooding</b>.|tag:google.com,2013:googlealerts/feed:12002152328326957653|https://thecord.ca/natural-disasters-growing-due-to-climate-change/
2023-10-05T21:56:29Z|en|flood|all|Sikkim Flash <b>Floods</b> Animation - NDTV|NDTV takes you through how the glacial lake outburst <b>flood</b> devastated the hill state of Sikkim, killing 14 and leaving thousands stranded.|tag:google.com,2013:googlealerts/feed:6323770533983425539|https://www.ndtv.com/video/news/left-right-centre/sikkim-floods-sikkim-flash-floods-animation-729544
2023-10-05T21:56:28Z|en|flood|all|Sikkim Flash <b>Floods</b>: What Led To The Disaster - NDTV|Fourteen people have lost their lives and over a hundred, including 22 soldiers, are still missing after a Glacial Lake Outburst <b>Flood</b> at the&nbsp;...|tag:google.com,2013:googlealerts/feed:13887666945543713727|https://www.ndtv.com/video/news/left-right-centre/sikkim-flash-floods-what-led-to-the-disaster-729560
2023-10-05T20:55:06Z|en|flood|all|How to mobilize claims repairs in a <b>flood</b>-prone city - Canadian Underwriter|... <b>flood</b> damage. The firm plans to onboard 15 staff and hire 20 to 40 subcontractors in the first year of its new location. The claims industry is&nbsp;...|tag:google.com,2013:googlealerts/feed:6066723795056787124|https://www.canadianunderwriter.ca/catastrophes/how-one-restoration-firm-is-mobilizing-repairs-in-a-flood-prone-city-1004238833/
2023-10-05T20:43:01Z|en|flood|all|"CNW Newswire | Canadian Geographic"|Wetlands act as a significant carbon sink and cool island during heat waves, absorb a substantial amount of water and help mitigate <b>flooding</b> risks&nbsp;...|tag:google.com,2013:googlealerts/feed:1739160620297286144|https://www.canadiangeographic.ca/content/cnw-newswire%3Frkey%3D20231005C0566%26filter%3D11169
2023-10-05T20:22:51Z|en|flood|all|Glacial lake bursts in India leaving 100 missing and 14 dead - MSN|Known as the rooftop of the world, the ecologically-sensitive Himalayan region is prone to flash <b>floods</b> and landslides, and <b>flooding</b> is not unusual in&nbsp;...|tag:google.com,2013:googlealerts/feed:12476800399686040973|https://www.msn.com/en-ca/news/world/search-and-rescue-launched-for-100-people-missing-in-northeast-india-as-flash-flooding-kills-at-least-14/ar-AA1hIoar
2023-10-05T19:43:58Z|en|flood|all|New Cache Creek bridge project on its way - CFJC Today Kamloops|“There&#39;s been <b>floods</b> in five of the last eight years and I think the community is tired of seeing the amount of <b>flooding</b> that happens in Cache&nbsp;...|tag:google.com,2013:googlealerts/feed:4647630640324267365|https://cfjctoday.com/2023/10/05/new-cache-creek-bridge-project-on-its-way/
2023-10-06T03:26:10Z|fr|inondation|all|Des dizaines de millions d&#39;enfants déracinés et traumatisés, alerte l&#39;UNICEF - La Presse|<b>Inondations</b>, tempêtes, sécheresses… les catastrophes alimentées par le changement climatique ont provoqué 43,1 millions de déplacements d&#39;enfants&nbsp;...|tag:google.com,2013:googlealerts/feed:11593001040014335204|https://www.lapresse.ca/actualites/environnement/2023-10-05/desastres-climatiques/des-dizaines-de-millions-d-enfants-deracines-et-traumatises-alerte-l-unicef.php
2023-10-06T03:05:37Z|fr|inondation|all|Les Flames auront enfin leur nouvel amphithéâtre de 1,2 milliard - HabsolumentFan|... <b>inondation</b> de l&#39;ensemble de la partie inférieure du Saddledome en 2013. Available: 300x250, 336x280, 320x480, 300x600. 320x480. Un accord a été&nbsp;...|tag:google.com,2013:googlealerts/feed:6899836668847230594|https://www.habsolumentfan.com/ailleurs-dans-la-lnh/les-flames-auront-enfin-leur-nouvel-amphitheatre-de-1-2-milliard
2023-10-06T02:52:08Z|fr|inondation|all|Après la chaleur, le froid, et jusqu&#39;à 80 mm de pluie au Québec - TVA Nouvelles|Le risque d&#39;<b>inondation</b> apparaît faible à ce moment-ci, selon la Sécurité civile, qui dit toutefois surveiller de près la situation. Retour à la&nbsp;...|tag:google.com,2013:googlealerts/feed:8374647371745324877|https://www.tvanouvelles.ca/2023/10/05/apres-la-chaleur-le-froid-et-jusqua-80-mm-de-pluie-au-quebec
2023-10-05T15:31:16Z|fr|inondation|all|Le typhon Koinu provoque des vents d&#39;une force «record» à Taïwan - TVA Nouvelles|Hong Kong, contourné par un typhon le mois dernier, avant d&#39;être touché par des <b>inondations</b> causées par les précipitations les plus fortes&nbsp;...|tag:google.com,2013:googlealerts/feed:17748989513360571641|https://www.tvanouvelles.ca/2023/10/05/le-typhon-koinu-provoque-des-vents-dune-force-record-a-taiwan
2023-10-05T11:23:34Z|fr|inondation|all|"Au moins 14 morts et 102 disparus dans le débordement d&#39;un lac himalayen | La Presse"|« Situation catastrophique ». Les <b>inondations</b> provoquées par les débordements de lacs glaciaires, souvent accompagnées de chutes de roches, sont plus&nbsp;...|tag:google.com,2013:googlealerts/feed:9035709784969112534|https://www.lapresse.ca/international/asie-et-oceanie/2023-10-05/inde/au-moins-14-morts-et-102-disparus-dans-le-debordement-d-un-lac-himalayen.php
2023-10-05T08:34:37Z|fr|inondation|all|Pour étendre la couverture, Bell aimerait un fardeau réglementaire moins lourd|La fiabilité des communications lors de ces événements a été critiquée. En juillet, lorsque des pluies diluviennes ont causé des <b>inondations</b> éclairs,&nbsp;...|tag:google.com,2013:googlealerts/feed:1184989501254064688|https://ici.radio-canada.ca/nouvelle/2015310/couverture-cellulaire-internet-catastrophe-naturelle
2023-10-05T07:15:54Z|fr|inondation|all|Inde: au moins 23 soldats disparus dans des crues subites dans l&#39;Himalaya - Le Soleil|Les <b>inondations</b> et les glissements de terrains sont relativement fréquents en Inde et causent de nombreux dégâts, notamment pendant la mousson, de&nbsp;...|tag:google.com,2013:googlealerts/feed:12609713529079132361|https://www.lesoleil.com/monde/2023/10/04/inde-au-moins-23-soldats-disparus-dans-des-crues-subites-dans-lhimalaya-LJM75XTQRVCAXIS7NDYGUK2C4U/
2023-10-07T05:49:49Z|en|flood|all|"<b>Floods</b>: Experts List Reasons &amp; Solutions | Guwahati News - The Times of India"|A retired professor of Gauhati University, who did in-depth studies on urban <b>floods</b>, said Guwahati witnessed heavy changes particularly in the last&nbsp;...|tag:google.com,2013:googlealerts/feed:4954281998064449497|https://m.timesofindia.com/city/guwahati/floods-experts-list-reasons-solutions/articleshow/104229109.cms
2023-10-07T05:39:16Z|en|flood|all|Why the New York City <b>floods</b> should be a wake-up call - Washington Post|When Shekar Krishnan walked his young children to school in a downpour Sept. 29, confronted by <b>flooded</b> streets, his mind went to worrying about&nbsp;...|tag:google.com,2013:googlealerts/feed:2006176529885662049|https://www.washingtonpost.com/weather/2023/10/06/new-york-floods-floods-basements/
2023-10-07T05:18:54Z|en|flood|all|"Icy <b>flood</b> that killed at least 41 had been feared for years | World News - Jamaica Gleaner"|A vehicle that got washed away lies atop a submerged building after flash <b>floods</b> triggered by a sudden heavy rainfall swamped the Rangpo town in&nbsp;...|tag:google.com,2013:googlealerts/feed:17182487841108814222|https://jamaica-gleaner.com/article/world-news/20231007/icy-flood-killed-least-41-had-been-feared-years
2023-10-07T05:02:11Z|en|flood|all|<b>Floods</b>, storms and fires displaced 20,000 children every day over past six years, UNICEF report finds|More than 43 million children have been driven from their homes by <b>floods</b>, storms, droughts and wildfires over the six years between 2016 and 2021&nbsp;...|tag:google.com,2013:googlealerts/feed:5020929040435343393|https://www.accuweather.com/en/climate/floods-storms-and-fires-displaced-20000-children-every-day-over-past-six-years-unicef-report-finds/1585233
2023-10-07T03:36:14Z|en|flood|all|Vermont&#39;s <b>flood</b>-damaged capital is slowly rebuilding. And it&#39;s asking tourists and residents to help|(AP) — Nearly three months after severe <b>flooding</b> inundated Vermont&#39;s capital city, Montpelier businesses launched an event Friday to celebrate how&nbsp;...|tag:google.com,2013:googlealerts/feed:14948926558019594041|https://www.winnipegfreepress.com/arts-and-life/life/greenpage/2023/10/06/vermonts-flood-damaged-capital-is-slowly-rebuilding-and-its-asking-tourists-and-residents-to-help
2023-10-07T02:33:52Z|en|flood|all|USACE installs temporary pumps to alleviate seepage at Isabella Lake|Today, Isabella Lake and its dams reduce <b>flood</b> risk for Bakersfield and the surrounding region and is a primary water source for water users&nbsp;...|tag:google.com,2013:googlealerts/feed:15766622779357493723|https://www.spk.usace.army.mil/Media/News-Releases/Article/3551392/usace-installs-temporary-pumps-to-alleviate-seepage-at-isabella-lake/
2023-10-07T02:30:08Z|en|flood|all|Macau Casinos Boom as Chinese Tourists <b>Flood</b> in for Golden Week - BNN Bloomberg|Macau Casinos Boom as Chinese Tourists <b>Flood</b> in for Golden Week. Shirley Zhao, Bloomberg News. (Bloomberg) -- Chinese tourists flocked en masse to&nbsp;...|tag:google.com,2013:googlealerts/feed:14194704210575438964|https://www.bnnbloomberg.ca/macau-casinos-boom-as-chinese-tourists-flood-in-for-golden-week-1.1981491
2023-10-07T02:25:49Z|en|flood|all|"Tragedy exposes class divide among neighbours in slum rehab project | Mumbai News"|Sikkim <b>Floods</b> &middot; Mumbai Fire News &middot; Rajasthan Districts &middot; Bangalore Traffic &middot; Election Dates 2023 &middot; <b>Flood</b> in Sikkim. Tragedy exposes class divide among&nbsp;...|tag:google.com,2013:googlealerts/feed:4859694740603117291|https://m.timesofindia.com/city/mumbai/tragedy-exposes-class-divide-among-neighbours-in-slum-rehab-project/articleshow/104227211.cms
2023-10-07T01:32:46Z|en|flood|all|"NYC Weather Alert: New Yorkers Strongly Urged to Take Safety Measures | City of New York"|... <b>flood</b>-prone areas, including below-grade living spaces, to take ... Do not drive into <b>flooded</b> streets or enter <b>flooded</b> subway stations. Six inches&nbsp;...|tag:google.com,2013:googlealerts/feed:9543785032890007518|https://www.nyc.gov/office-of-the-mayor/news/743-23/nyc-weather-alert-new-yorkers-strongly-urged-take-safety-measures-preparation-periods-of
2023-10-07T01:31:47Z|en|flood|all|October 6, 2023 - VOA|3 People walk along a street as a jeep is buried in the mud due to the <b>flood</b> at Teesta Bazaar in Kalimpong District, West Bengal, India. An&nbsp;...|tag:google.com,2013:googlealerts/feed:10340058079139764958|https://www.voanews.com/a/october-6-2023-day-in-photos/7300062.html
2023-10-07T01:03:05Z|en|flood|all|Glacial Lake <b>Floods</b>: A Growing, Unpredictable Climate Risk - VOA|A glacial lake outburst <b>flood</b>, or GLOF, is the sudden release of water that has collected in former glacier beds. These lakes are formed by the&nbsp;...|tag:google.com,2013:googlealerts/feed:16482875835983215644|https://www.voanews.com/a/glacial-lake-floods-a-growing-unpredictable-climate-risk/7300316.html
2023-10-07T00:14:04Z|en|flood|all|UNICEF says weather-related disasters have displaced millions of children - Today Online|... <b>floods</b> due to the rains brought by Hurricanes Eta and Iota, in Villanueva, Honduras December 6, 2020. Picture taken December 6, 2020. REUTERS/Jose&nbsp;...|tag:google.com,2013:googlealerts/feed:13096624169788600410|https://www.todayonline.com/world/unicef-says-weather-related-disasters-have-displaced-millions-children-2275716
2023-10-07T00:02:38Z|en|flood|all|Cotton Demands Answers About Possible Biden Deals with Maduro Regime|... <b>flood</b> into the country. Further, there is little reason to believe Venezuela agreed to your repatriation flights without getting something in&nbsp;...|tag:google.com,2013:googlealerts/feed:16025876739618815094|https://www.cotton.senate.gov/news/press-releases/cotton-demands-answers-about-possible-biden-deals-with-maduro-regime
2023-10-06T23:29:44Z|en|flood|all|"Icy <b>flood</b> that killed at least 41 in India&#39;s northeast was feared for years | CityNews Toronto"|... <b>floods</b> triggered by sudden heavy rainfall swamped Rangpo town in Sikkim, India, Friday, Oct. 6. 2023. A <b>flood</b> that burst through a major&nbsp;...|tag:google.com,2013:googlealerts/feed:5243721711908697357|https://toronto.citynews.ca/2023/10/06/icy-floodwaters-burst-through-major-dam-in-indias-northeast-killing-at-least-31-people/
